CAS Number,Chemical Name,SMILES,Species Scientific Name,Species Common Name,Species Sub Phylum,Effect,Organism Lifestage,Exposure Duration Mean (Days),Conc 1 Mean (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Units (Standardized)
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gambusia affinis,Western Mosquitofish,Vertebrata,Mortality,Not reported,NR,1.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gambusia affinis,Western Mosquitofish,Vertebrata,Mortality,Not reported,NR,8.51,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora heteromorpha,"Harlequinfish, Red Rasbora",Vertebrata,Mortality,Not reported,NR,14.2,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora heteromorpha,"Harlequinfish, Red Rasbora",Vertebrata,Mortality,Not reported,NR,8.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora heteromorpha,"Harlequinfish, Red Rasbora",Vertebrata,Mortality,Not reported,NR,10.7,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,3.02,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,25.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Oreochromis mossambicus,Mozambique Tilapia,Vertebrata,Mortality,Not reported,NR,3.54,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,10.47,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,2.95,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,3.55,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,218.5,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,6300.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,20.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Oreochromis mossambicus,Mozambique Tilapia,Vertebrata,Mortality,Immature,NR,2.8,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Channa punctata,Snake-Head Catfish,Vertebrata,Mortality,Not reported,NR,1.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora daniconius,Slender Rasbora,Vertebrata,Mortality,Adult,NR,6.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Pseudosphromenus cupanus,Spike-tailed Paradise Fish ,Vertebrata,Mortality,Not reported,NR,2.813,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Pseudosphromenus cupanus,Spike-tailed Paradise Fish ,Vertebrata,Mortality,Not reported,NR,2.277,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Channa striata,Snake-Head Catfish,Vertebrata,Mortality,Not reported,NR,1.346,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cirrhinus mrigala,"Carp, Hawk Fish",Vertebrata,Mortality,Fingerling,NR,6.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gibelion catla,Catla,Vertebrata,Mortality,Fingerling,NR,6.8,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Labeo rohita,Rohu,Vertebrata,Mortality,Fingerling,NR,6.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,10.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,2.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,4.2,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,3.5,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,100.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,5.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Salmo trutta,Brown Trout,Vertebrata,Mortality,Not reported,NR,3.2,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Salmo trutta,Brown Trout,Vertebrata,Mortality,Not reported,NR,3.2,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Salmo trutta,Brown Trout,Vertebrata,Mortality,Not reported,NR,2.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ptychocheilus lucius,Colorado Pikeminnow,Vertebrata,Mortality,Post-larva,NR,1.497,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gila cypha,Humpback Chub,Vertebrata,Mortality,Juvenile,NR,2.471,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ptychocheilus lucius,Colorado Pikeminnow,Vertebrata,Mortality,Juvenile,NR,1.512,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gila cypha,Humpback Chub,Vertebrata,Mortality,Juvenile,NR,1.898,,AI mg/L
55-18-5,N-Ethyl-N-nitrosoethanamine,CCN(CC)N=O,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,775.0,,AI mg/L
55-18-5,N-Ethyl-N-nitrosoethanamine,CCN(CC)N=O,Poecilia reticulata,Guppy,Vertebrata,Mortality,Not reported,NR,100.0,,AI mg/L
57-12-5,Cyanide,[C-]#N,Danio rerio,Zebra Danio,Vertebrata,Mortality,Embryo,5,2.350699195,,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,62000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,710.0,,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,55770.0,,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,1000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,790.0,,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,1000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Carassius auratus,Goldfish,Vertebrata,Mortality,Not reported,1,5000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Carassius auratus,Goldfish,Vertebrata,Mortality,Not reported,1,5000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,1000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,1000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,1000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,34060.0,,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,1000.0,>,AI mg/L
57-55-6,"1,2-Propanediol",CC(O)CO,Oncorhynchus mykiss,Rainbow Trout,Vertebrata,Mortality,Not reported,NR,44.0,,AI ml/L
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,Fundulus heteroclitus,Mummichog,Vertebrata,Mortality,Adult,NR,5500.0,,AI mg/L
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,Fundulus heteroclitus,Mummichog,Vertebrata,Mortality,Adult,NR,8300.0,,AI mg/L
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,Fundulus heteroclitus,Mummichog,Vertebrata,Mortality,Adult,NR,2700.0,,AI mg/L
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,Fundulus heteroclitus,Mummichog,Vertebrata,Mortality,Adult,NR,3300.0,,AI mg/L
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,940.0,,AI mg/L
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,Fundulus heteroclitus,Mummichog,Vertebrata,Mortality,Adult,NR,4700.0,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,53.4,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,9.0,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,149.0,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.6,<,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.6,<,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,4.4,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Not reported,NR,13.0,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Not reported,NR,1.5,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,NR,8.1,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,9.0,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,40.0,>,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.6,<,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,40.0,>,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,40.0,>,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,9.0,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,12.4,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,86.5,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,33.9,,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,40.0,>,AI mg/L
72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.6,<,AI mg/L
72-55-9,"1,1'-(2,2-Dichloroethenylidene)bis[4-chlorobenzene]",ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Not reported,NR,1.6,>,AI mg/L
72-56-0,"1,1'-(2,2-Dichloroethylidene)bis[4-ethylbenzene",CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,Gambusia affinis,Western Mosquitofish,Vertebrata,Mortality,Not reported,NR,10.0,>,AI mg/L
86-30-6,N-Nitroso-N-phenylbenzenamine,O=NN(c1ccccc1)c1ccccc1,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Young of year,4,5.8,,AI mg/L
86-30-6,N-Nitroso-N-phenylbenzenamine,O=NN(c1ccccc1)c1ccccc1,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Young of year,4,44.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Phoxinus phoxinus,Minnow,Vertebrata,Mortality,Not reported,NR,17.6,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Rhodeus sericeus ssp. amarus,Bitterling,Vertebrata,Mortality,Not reported,NR,25.7,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Paralichthys olivaceus,"Hirame, Flounder",Vertebrata,Mortality,Juvenile,4,6.07,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Osteichthyes,Bony Fishes,Vertebrata,Mortality,Not reported,NR,40.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,22.7,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Phoxinus phoxinus,Minnow,Vertebrata,Mortality,Not reported,NR,38.2,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Leuciscus idus ssp. melanotus,Carp,Vertebrata,Mortality,Not reported,NR,13.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Leuciscus idus ssp. melanotus,Carp,Vertebrata,Mortality,Not reported,NR,28.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,26.0,>,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,14.7,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,18.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,23.6,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,9.3,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,1480.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,58.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Lepomis macrochirus,Bluegill,Vertebrata,Mortality,Juvenile,NR,30.3,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Dicentrarchus labrax,Sea Bass,Vertebrata,Mortality,Juvenile,4,8.1,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Danio rerio,Zebra Danio,Vertebrata,Mortality,Not reported,NR,15.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Danio rerio,Zebra Danio,Vertebrata,Mortality,Not reported,NR,25.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Danio rerio,Zebra Danio,Vertebrata,Mortality,Not reported,NR,15.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Juvenile,4,14.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Juvenile,4,35.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Juvenile,4,14.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Juvenile,4,34.0,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,4,18.1,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,4,21.5,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,4,34.3,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Poecilia reticulata,Guppy,Vertebrata,Mortality,Not reported,4,33.5,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Poecilia reticulata,Guppy,Vertebrata,Mortality,Not reported,4,33.5,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Poecilia reticulata,Guppy,Vertebrata,Mortality,Not reported,4,44.6,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,4,14.3,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,4,32.7,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,4,16.7,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,4.2,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,14.8,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,5.2,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,3.5,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,33.5,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,10.1,,AI mg/L
107-13-1,2-Propenenitrile,C=CC#N,Pimephales promelas,Fathead Minnow,Vertebrata,Mortality,Not reported,30,8.1,,AI mg/L
